synthetic_code_id,parent_theoretical_id,parent_theoretical_name,synthetic_code_name,interpretive_definition,inclusion_criteria,exclusion_criteria,interpretive_rationale,boundary,synthetic_kind,review_status,focused_code_count
S18,T02,kalibrowanie odwracalnej trajektorii zawodowej,Uczenie się przez praktykowanie,"Doświadczenia pracy, prób i interakcji stają się źródłem kompetencji oraz orientacji potrzebnej do dalszych decyzji. Znaczenie ma nie samo uczestnictwo, lecz przekształcenie doświadczenia w rozpoznanie własnych możliwości, zasad działania lub wykonalności.","Włączaj, gdy fragment opisuje nabywanie umiejętności, wiedzy orientacyjnej lub pewności poprzez wykonywanie zadań, praktyki, staż, próbę, poradę albo sprawdzanie własnych zdolności.","Nie włączaj samego gromadzenia formalnych poświadczeń, zwykłego wejścia do pracy bez procesu uczenia się ani retrospektywnej oceny całej biografii bez wskazanej lekcji.","Wszystkie przypisane F ujmują doświadczenie jako aktywne narzędzie kalibrowania dalszej trajektorii, a nie jako biernie odbytą historię.","W odróżnieniu od C04 centrum stanowi rozwój orientacji i kompetencji, a nie sam sposób uzyskania zatrudnienia.",cluster,candidate,5
S19,T02,kalibrowanie odwracalnej trajektorii zawodowej,Konstruowanie wejścia do pracy,"Wejście do zatrudnienia odbywa się przez sekwencje tymczasowych, pośredniczonych lub opóźnionych etapów, a nie przez jednorazowe przejście do stabilnej pracy. Dostęp do rynku jest składany z okazji, relacji, przerw i przejść między edukacją a pracą.","Włączaj, gdy fragment pokazuje, że uzyskanie pracy zależy od wielu krótkich zajęć, pośrednika, praktyki, oczekiwania, presji czasowej albo przeformułowania statusu edukacyjnego.","Nie włączaj opisu stażu przede wszystkim jako uczenia się, ani wyboru między już dostępnymi wariantami zatrudnienia.","Przypisane F opisują zatrudnienie jako proces stopniowego uzyskiwania dostępu, często czasowy, rozproszony i zależny od zewnętrznych okazji.","W odróżnieniu od C10 nie chodzi o selekcjonowanie warunków już rozważanej pracy, lecz o samo wypracowanie wejścia do zatrudnienia.",cluster,candidate,4
S20,T02,kalibrowanie odwracalnej trajektorii zawodowej,Kapitalizowanie kwalifikacji,"Edukacja, kursy, doświadczenia i dokumenty są wykorzystywane jako zasoby poszerzające przyszłe możliwości zawodowe. Osoby nie tylko uczą się, lecz świadomie budują, uzupełniają i przedstawiają rozpoznawalny kapitał kwalifikacyjny.","Włączaj, gdy ukończenie edukacji, kurs, samokształcenie, akumulowanie doświadczeń lub ich dokumentowanie jest powiązane z uzyskaniem zawodu, awansem, przejściem przez selekcję albo zabezpieczeniem perspektyw pracy.","Nie włączaj bariery w dostępie do kwalifikacji, samego uczenia się w pracy ani podtrzymywania studiów przede wszystkim jako otwartej opcji bez pracy nad zasobem kwalifikacyjnym.",Wspólnym mechanizmem jest przekładanie edukacyjnych i praktycznych zasobów na większą rozpoznawalność oraz użyteczność na przyszłym rynku pracy.,"W odróżnieniu od C05 centrum stanowi budowanie wartości kwalifikacyjnej, a nie organizowanie czasu między studiami i utrzymaniem.",cluster,candidate,4
S21,T02,kalibrowanie odwracalnej trajektorii zawodowej,Sekwencjonowanie pracy i nauki,"Osoby zarządzają relacją między pracą, studiami i utrzymaniem, aby nie zamknąć przyszłych możliwości. Trajektoria powstaje przez zmianę kolejności zobowiązań, organizowanie czasu oraz zachowywanie możliwości powrotu do edukacji.","Włączaj, gdy fragment przedstawia zmianę kolejności pracy i edukacji, dostosowanie grafiku do nauki, utrzymywanie możliwości kontynuacji studiów albo godzenie dochodu z rozwojem ścieżki.","Nie włączaj samej pracy podczas studiów bez organizowania relacji między rolami, ani kwalifikacji budowanych bez problemu równoległego utrzymania.","Wszystkie F opisują edukację i pracę jako wzajemnie negocjowane elementy sekwencji biograficznej, a nie osobne sfery.",W odróżnieniu od C06 odroczenie nie jest tu głównym mechanizmem; chodzi o aktywne układanie współistnienia lub kolejności zobowiązań.,cluster,candidate,4
S22,T02,kalibrowanie odwracalnej trajektorii zawodowej,Podtrzymywanie odwracalności przyszłości,"Brak konkretnego planu lub celowe odsunięcie decyzji pozwala nie zamykać przyszłości w jednej ścieżce. Otwartość jest tu czasową strategią zachowania możliwości, a nie wyłącznie deficytem planowania.","Włączaj, gdy osoba nie określa jednego kierunku, dopuszcza odejście od wyuczonej ścieżki albo świadomie odkłada decyzję, przerwę lub zobowiązanie, by zachować późniejszy wybór.","Nie włączaj wyłącznie lęku o przyszłe bezpieczeństwo, retrospektywnego żalu z powodu przeszłości ani konkretnej zmiany kierunku po zerwaniu ciągłości.","Przypisane F pokazują odwracalność jako sposób działania wobec nierozstrzygniętego kierunku, a nie prostą bierność.",W odróżnieniu od C08 nie chodzi o osiąganie stabilnego układu życia; w odróżnieniu od C09 nie chodzi o dokonaną reorientację.,cluster,candidate,3
S23,T02,kalibrowanie odwracalnej trajektorii zawodowej,Szacowanie dostępności pracy,"Przyszłość zawodowa jest oceniana przez pryzmat kruchości lub możliwej ciągłości dostępu do zatrudnienia i dochodu. Osoby równocześnie rozpoznają brak gwarancji oraz poszukują podstaw do przekonania, że praca pozostanie osiągalna.","Włączaj, gdy fragment dotyczy przyszłej możliwości utrzymania zatrudnienia, dochodu, statusu lub zabezpieczenia i opiera tę ocenę na niepewności albo na doświadczeniach dających poczucie dostępności pracy.","Nie włączaj deklarowanego pragnienia stabilnej pracy bez oceny jej dostępności, ani ogólnego braku planu na życie.","F tworzą dwa bieguny tego samego procesu: oceny, czy przyszła biografia zawodowa będzie możliwa do podtrzymania.","W odróżnieniu od C08 dotyczy przewidywania dostępności pracy i ochrony, nie projektowania pożądanego stabilnego życia.",cluster,candidate,2
S24,T02,kalibrowanie odwracalnej trajektorii zawodowej,Projektowanie zakotwiczenia życiowego,"Przyszłość jest porządkowana wokół trwałości zatrudnienia, mieszkania, finansów i relacji rodzinnych. Stabilizacja staje się wyobrażonym punktem ograniczającym wcześniejszą odwracalność biografii.","Włączaj, gdy osoba wiąże przyszłe uporządkowanie życia z trwałą pracą, mieszkaniem, dochodem, rodziną lub innymi materialno-relacyjnymi warunkami stabilności.","Nie włączaj samego lęku przed niestabilnością pracy, technicznej bariery finansowej ani otwartego odraczania decyzji.","Wspólnym znaczeniem F jest traktowanie stabilnego układu materialnego i relacyjnego jako horyzontu, względem którego kalibrowana jest trajektoria.","W odróżnieniu od C07 chodzi o pożądany i planowany układ stabilności, a nie o ocenę prawdopodobieństwa utrzymania pracy.",cluster,candidate,4
S25,T02,kalibrowanie odwracalnej trajektorii zawodowej,Przekierowywanie po niedopasowaniu,"Niedopasowanie, przerwanie ciągłości lub rozpoznanie kosztów dotychczasowej ścieżki uruchamiają zmianę kierunku. Odejście, powrót, przekwalifikowanie i ograniczenie aktywności są sposobami ponownego ustawiania trajektorii.","Włączaj, gdy wcześniejsza praca, edukacja lub aktywność zostaje zawieszona, opuszczona, ograniczona albo zastąpiona inną ścieżką wskutek niedopasowania, ograniczenia lub zmienionych warunków.","Nie włączaj warunkowego rozważania zmiany bez zerwania lub wycofania, ani samego odroczenia decyzji przy utrzymaniu dotychczasowej opcji.","Przypisane F traktują nieciągłość nie jako koniec działania, lecz jako punkt przeorientowania biografii.",W odróżnieniu od C10 osoba realnie wycofuje się lub zmienia kierunek; C10 dotyczy przede wszystkim porównywania warunków przed decyzją.,cluster,candidate,5
S26,T02,kalibrowanie odwracalnej trajektorii zawodowej,Selekcjonowanie warunków pracy,"Osoby odzyskują sprawstwo przez porównywanie i wybieranie form pracy według bezpieczeństwa, autonomii, dopasowania, kosztów i jakości warunków. Zmiana lub odejście jest traktowane jako warunkowa odpowiedź na przekroczony próg albo dostępność lepszej opcji.","Włączaj, gdy fragment pokazuje aktywne ważenie opcji pracy, negocjowanie jej warunków, testowanie ryzyka, warunkowe odejście albo rezygnację po uznaniu warunków za nieakceptowalne.","Nie włączaj dokonanej zmiany zawodu wywołanej przerwaniem ciągłości, ani samego niezadowolenia z pracy bez wskazanego wyboru, progu lub alternatywy.",Wspólny mechanizm polega na przekształcaniu warunków pracy w kryteria selekcji dalszego ruchu zawodowego.,"W odróżnieniu od C09 koduje deliberację, ocenę i warunkowanie decyzji; C09 obejmuje już przeorientowanie ścieżki po zerwaniu lub niedopasowaniu.",cluster,candidate,6
S27,T02,kalibrowanie odwracalnej trajektorii zawodowej,Retrospektywne wartościowanie trajektorii,"Przebieg biografii jest oceniany przez zestawienie obecnej sytuacji z niewykorzystanymi możliwościami, potencjałem i alternatywnymi wariantami. Ocena nadaje przeszłym wyborom sens opóźnienia, straty albo ograniczonej przyszłości.","Włączaj, gdy osoba retrospektywnie porównuje własną lub cudzą trajektorię z możliwą alternatywą i interpretuje ją jako zmarnowany czas, utracony potencjał, brak perspektyw lub biograficzne ograniczenie.","Nie włączaj bieżącego braku planu, neutralnego opisu ograniczeń strukturalnych ani przyszłościowego ważenia opcji bez retrospektywnej oceny.","Oba F nie opisują wyłącznie obiektywnej sytuacji, lecz moralno-biograficznie interpretują jej oddalenie od możliwego, lepszego przebiegu.","W odróżnieniu od C09 nie chodzi o działanie zmieniające kierunek, lecz o interpretację znaczenia wcześniejszego przebiegu.",cluster,candidate,2
S28,T02,kalibrowanie odwracalnej trajektorii zawodowej,Pozycjonowanie się wobec oczekiwań rodziców,"Rodzicielskie oczekiwania wobec edukacji i zawodu stają się relacyjnym punktem odniesienia, wobec którego osoba przyjmuje, negocjuje lub odrzuca wpływ na własną ścieżkę.",Włączaj wyłącznie przy jawnym związku między oczekiwaniem lub sugestią rodziców a pozycją osoby wobec własnej edukacji albo zawodu.,Nie włączaj ogólnego wsparcia rodziny ani decyzji edukacyjnych bez rodzicielskiej relacji wpływu.,Negocjowanie autonomii biograficznej w relacji rodzinnej.,Nie jest to bariera zasobowa z C01 ani samodzielne dopasowywanie ścieżki do zainteresowań; kluczowa jest relacja z oczekiwaniem rodziców.,standalone_candidate,needs_review,1
S29,T02,kalibrowanie odwracalnej trajektorii zawodowej,Poszukiwanie zawodowego dopasowania,"Wybór edukacji i przyszłej pracy jest organizowany przez sprawdzanie zgodności między zainteresowaniami, wyobrażeniami o sobie i możliwym zajęciem.","Włączaj, gdy wybór szkoły, profilu lub kierunku jest uzasadniany szukaniem zajęcia zgodnego z zainteresowaniami i wyobrażoną pracą.","Nie włączaj wyborów wymuszonych zasobami, presją rodziny lub samą kalkulacją bezpieczeństwa.",Konstruowanie kierunku przez poszukiwanie zgodności aspiracji i pracy.,"W odróżnieniu od C04 nie chodzi o budowanie kwalifikacji, lecz o ustalanie, jaka ścieżka jest osobiście odpowiednia.",standalone_candidate,needs_review,1
S30,T02,kalibrowanie odwracalnej trajektorii zawodowej,Warunkowanie mobilności relacjami,"Decyzja o wyjeździe, przeprowadzce lub pozostaniu pozostaje zależna od przebiegu studiów oraz relacji rodzinnych lub partnerskich, przez co sprawstwo mobilności ma charakter warunkowy.","Włączaj, gdy mobilność jest jawnie uzależniona od przyszłego rozwoju biografii lub działania bliskiej osoby.",Nie włączaj samodzielnie zrealizowanych przeprowadzek ani ogólnego marzenia o zmianie miejsca.,Relacyjne ograniczanie mobilności jako elementu trajektorii.,"W odróżnieniu od C06 nie chodzi przede wszystkim o odroczenie kariery, lecz o relacyjnie warunkowaną decyzję przestrzenną.",standalone_candidate,needs_review,1
S31,T02,kalibrowanie odwracalnej trajektorii zawodowej,Przekuwanie trudności w działanie,"Przymus, dyskomfort lub problem uruchamiają konkretne działanie, wytrwanie lub próbę naprawy zamiast wycofania.","Włączaj, gdy trudność jest bezpośrednim impulsem do podjęcia działania i fragment wskazuje tę reakcję.","Nie włączaj samych planów, zdobywania kwalifikacji ani wyborów pracy bez wcześniejszego problemu jako impulsu.",Aktywizowanie działania przez doświadczenie konieczności.,"W odróżnieniu od C10 nie chodzi o selekcję opcji zatrudnienia, lecz o ogólniejszą reakcję sprawczą na trudność.",standalone_candidate,needs_review,1
S32,T02,kalibrowanie odwracalnej trajektorii zawodowej,Tworzenie własnego zatrudnienia,"Planowanie, uruchamianie lub prowadzenie własnej działalności zmienia formę uczestnictwa w pracy z zatrudnienia na samodzielne przedsięwzięcie.","Włączaj, gdy osoba zakłada, prowadzi, rozwija lub rozważa zakończenie własnej firmy, gabinetu, sklepu lub zawodowego przedsięwzięcia.","Nie włączaj kursów, pracy u krewnego ani ogólnej autonomii w ramach cudzego zatrudnienia.",Przedsiębiorczość jako alternatywna organizacja aktywności zawodowej.,"W odróżnieniu od C10 nie chodzi o wybieranie warunków istniejącej pracy, ale o wytworzenie nowej formy pracy.",standalone_candidate,needs_review,1
